t,Temp,P,KE,PE,E,Vol
29790,334.528938806488,5282.25089091988,21.7503533458219,-2134.49189013793,-2112.74153679211,7745.27052663881
29800,332.592431336844,5297.08128929729,21.624445787953,-2134.36596750218,-2112.74152171423,7745.27052663881
29810,329.942360146231,5277.14231359151,21.4521438490145,-2134.19357938746,-2112.74143553844,7745.27052663881
29820,328.705109255275,5254.02765581648,21.3717004525426,-2134.11305150998,-2112.74135105744,7745.27052663881
29830,330.904433845417,5233.3961453948,21.5146958153008,-2134.25607608128,-2112.74138026598,7745.27052663881
29840,335.937618215898,5186.83847220114,21.8419426564955,-2134.58348551503,-2112.74154285854,7745.27052663881
29850,340.280390616917,5058.66261169903,22.124300393795,-2134.86599276298,-2112.74169236918,7745.27052663881
29860,340.544522872651,4873.60311955977,22.1414737059538,-2134.88317322522,-2112.74169951927,7745.27052663881
29870,336.438818912842,4735.40765727901,21.8745296497003,-2134.6160793204,-2112.7415496707,7745.27052663881
29880,331.102735744205,4703.41097125434,21.5275889789929,-2134.26894880278,-2112.74135982379,7745.27052663881
29890,328.689805100626,4765.51217891102,21.3707054092663,-2134.11195674316,-2112.7412513339,7745.27052663881
29900,331.420558690424,4914.43088148787,21.5482531445695,-2134.28956402324,-2112.74131087867,7745.27052663881
29910,337.739198726078,5060.08063191421,21.9590775531569,-2134.70056688833,-2112.74148933517,7745.27052663881
29920,343.42889431642,5127.99072775455,22.3290093442947,-2135.07065925581,-2112.74164991152,7745.27052663881
29930,344.718438266891,5171.2851173326,22.4128527232196,-2135.15453290003,-2112.74168017681,7745.27052663881
29940,340.953510946459,5266.12899480202,22.1680652323888,-2134.90961359181,-2112.74154835942,7745.27052663881
29950,335.124723551706,5344.26232823537,21.7890899907673,-2134.53047164485,-2112.74138165408,7745.27052663881
29960,331.039770502749,5354.2914326072,21.5234951141839,-2134.26482864212,-2112.74133352793,7745.27052663881
29970,329.946639711046,5360.39648844154,21.4524220971302,-2134.19384355194,-2112.74142145481,7745.27052663881
29980,330.125132730295,5404.58485046454,21.4640273300056,-2134.20554557498,-2112.74151824498,7745.27052663881
29990,329.543125753188,5434.6358612048,21.426186485961,-2134.16770381602,-2112.74151733006,7745.27052663881
30000,328.161634438663,5365.98204483117,21.3363648868422,-2134.07782089915,-2112.74145601231,7745.27052663881
30010,327.38285238947,5165.14396275262,21.2857301500994,-2134.0271321085,-2112.7414019584,7745.27052663881
30020,328.465252643155,4887.71225910856,21.3561054906103,-2134.09750003911,-2112.7413945485,7745.27052663881
30030,331.492144752005,4585.07137999291,21.5529075165936,-2134.29435882556,-2112.74145130897,7745.27052663881
30040,335.132406092364,4285.96027657442,21.789589493066,-2134.53111629142,-2112.74152679836,7745.27052663881
30050,337.681449884795,4077.32269888831,21.9553228474872,-2134.69688249497,-2112.74155964748,7745.27052663881
30060,338.260402316416,4030.38439457144,21.9929650915427,-2134.73454513363,-2112.74158004208,7745.27052663881
30070,336.459893788326,4154.2051268971,21.8758998928551,-2134.61749482966,-2112.7415949368,7745.27052663881
30080,332.394098592165,4378.4784832497,21.6115506187273,-2134.35306554814,-2112.74151492941,7745.27052663881
30090,328.162504429282,4559.58173729479,21.3364214517644,-2134.07776963066,-2112.7413481789,7745.27052663881
30100,327.329021594455,4553.29936611899,21.2822301873857,-2134.02348777971,-2112.74125759233,7745.27052663881
30110,331.631855784839,4387.76918412741,21.5619912279798,-2134.30333675312,-2112.74134552514,7745.27052663881
30120,338.963708684089,4205.56751460679,22.0386925615243,-2134.78020948581,-2112.74151692428,7745.27052663881
30130,345.159508582874,4082.79468686091,22.4415301681582,-2135.18317757056,-2112.7416474024,7745.27052663881
30140,346.863133916338,4007.27707765337,22.5522962295457,-2135.29397631582,-2112.74168008627,7745.27052663881
30150,343.086913763046,3969.79773115588,22.3067745029687,-2135.04838095208,-2112.74160644911,7745.27052663881
30160,335.491683020598,3980.79692030779,21.8129489075489,-2134.55440067878,-2112.74145177123,7745.27052663881
30170,327.4086386373,4029.24608537001,21.2874067165685,-2134.02874569173,-2112.74133897516,7745.27052663881
30180,321.332385219427,4111.54282329422,20.8923417654495,-2133.63367926148,-2112.74133749603,7745.27052663881
30190,317.488893912979,4224.72796237801,20.6424462129299,-2133.38384802407,-2112.74140181114,7745.27052663881
30200,314.835053368105,4415.37846434475,20.4698991986704,-2133.21132597736,-2112.74142677869,7745.27052663881
30210,313.151060999368,4675.54231382087,20.3604096304961,-2133.10179530697,-2112.74138567647,7745.27052663881
30220,313.5839989994,4883.25983783681,20.3885583297122,-2133.12989884838,-2112.74134051867,7745.27052663881
30230,317.241373935902,4880.11052860144,20.6263529954618,-2133.3677206424,-2112.74136764693,7745.27052663881
30240,323.409750828302,4623.29134224763,21.0274076170995,-2133.76890178723,-2112.74149417013,7745.27052663881
30250,329.248324061036,4230.58464246591,21.4070191128957,-2134.14861651088,-2112.74159739798,7745.27052663881
30260,332.401086271008,3887.40095241344,21.6120049426027,-2134.35356679179,-2112.74156184919,7745.27052663881
30270,333.297206174334,3764.45667939759,21.6702687346892,-2134.41173497673,-2112.74146624204,7745.27052663881
30280,333.828451275316,3899.04268527525,21.7048091505373,-2134.44622730849,-2112.74141815795,7745.27052663881
30290,335.016897986493,4166.93757283068,21.7820794040257,-2134.5235349608,-2112.74145555678,7745.27052663881
